accuracy_train accuracy_val num_layers learning_rate epochs batch_size params
0.495 0.4825 7 0.0011 10 32 0.435995,0.018733,0.549662,0.433835,0.474862,0.314895;0.168567,0.612612,0.299655,0.245888,0.658641,0.523008;0.092522,0.500335,0.184440,0.773762,0.849024,0.547515;0.835737,0.104445,0.505246,0.118322,0.396799,0.150957;0.123190,0.627617,0.226012,0.165433,0.187545,0.406203;0.461492,0.247701,0.640407,0.535789,0.494554,0.384021;0.761824,0.609149,0.162299,0.704255,0.986024,0.500008
0.585 0.55 14 0.0121 10 16 0.435995,-0.032738,0.549662,0.719172,0.350711,0.343551;0.176290,0.782062,0.299655,0.143608,0.574435,0.459835;0.082511,0.842356,0.184440,0.645280,0.906329,0.397038;0.784429,0.315355,0.505246,-0.028055,0.523923,0.004805;0.016884,0.774117,0.226012,0.056276,0.306301,0.353547;0.479835,0.216551,0.640407,0.531066,0.481324,0.531723;0.580633,0.421315,0.162299,0.883622,0.774725,0.686496;1.013119,0.286843,0.567144,0.607767,0.189372,0.885938;0.667349,0.976292,0.544208,0.035084,0.504906,0.724245;0.363622,0.232812,0.247177,-0.058119,1.193522,1.014483;0.903387,0.787984,0.764960,0.229112,0.188420,0.652145;0.358239,0.279641,0.983153,0.570214,0.348829,0.465398;0.196440,0.480532,0.832017,0.916328,0.436459,0.167718;0.703107,-0.123328,0.582685,0.180182,0.717774,0.387523
0.525 0.5325 14 0.0033 10 32 0.435995,0.077672,0.549662,0.467892,0.413389,0.323795;0.149494,0.645931,0.299655,0.280534,0.618763,0.529636;0.145337,0.499281,0.184440,0.790978,0.880080,0.498595;0.871638,0.087039,0.505246,0.070569,0.492549,0.072658;0.148829,0.605463,0.226012,0.079061,0.291282,0.312932;0.479744,0.222436,0.640407,0.447436,0.567684,0.370103;0.808769,0.497598,0.162299,0.705863,0.946071,0.541275;0.952487,0.281630,0.567144,0.455239,0.463858,0.784099;0.548979,0.998888,0.544208,0.034177,0.473695,0.855497;0.377548,0.099629,0.247177,0.072232,0.955767,1.032512;0.860502,0.732905,0.764960,0.248491,0.200769,0.627722;0.390648,0.069531,0.983153,0.553114,0.528152,0.324951;0.265279,0.343032,0.832017,0.750478,0.445245,-0.009518;0.759102,0.175835,0.582685,0.001803,0.722645,0.387523
0.565 0.5925 11 0.0468 10 32 0.435995,0.087335,0.549662,0.596239,0.605611,0.291760;0.153038,0.490715,0.299655,0.184819,0.673360,0.704387;0.157526,0.524712,0.184440,0.910851,0.905667,0.641131;1.083488,0.345960,0.505246,0.237448,0.710618,-0.031349;-0.083135,0.862842,0.226012,-0.050833,0.466247,0.206673;0.179455,0.398087,0.640407,0.369129,0.769172,0.315552;0.377615,0.382857,0.162299,0.656495,0.618542,0.776531;0.987216,0.443563,0.567144,0.656533,0.412871,0.965872;0.557489,1.256892,0.544208,0.391446,0.447477,1.060891;0.391288,-0.316255,0.247177,0.305393,1.042183,1.055683;1.158555,0.448497,0.764960,0.180751,0.400003,0.524067
0.775 0.7375 15 0.0633 10 32 0.435995,-0.597855,0.549662,0.607996,0.188360,0.451683;0.470998,0.338233,0.299655,0.223930,0.284361,0.485473;0.124940,0.867945,0.184440,0.627868,0.590431,0.301500;0.587319,0.683460,0.505246,0.007611,0.375669,-0.196377;-0.207301,1.167158,0.226012,0.098173,0.213447,0.580886;0.082650,0.638790,0.640407,0.748720,0.210944,0.678575;0.379989,0.390859,0.162299,1.206565,0.529388,0.910224;0.543761,0.039532,0.567144,0.837449,-0.462671,0.981726;0.509336,0.932783,0.544208,-0.103217,0.078164,0.490959;0.628307,0.701057,0.247177,-0.234125,1.094497,0.478838;0.823756,1.085884,0.764960,-0.301471,0.467084,0.040983;0.375683,0.275911,0.983153,-0.075611,0.068945,0.452104;0.280023,0.330856,0.832017,0.971132,0.048786,0.344923;0.800076,0.176851,0.582685,0.368110,0.419140,0.674287;0.138646,0.028073,0.350872,0.852185,0.773369,0.112776
0.61 0.56 12 0.0232 10 32 0.435995,0.437846,0.549662,0.435330,0.601814,0.147701;0.081776,0.824910,0.299655,0.156060,0.764197,0.266105;0.207208,0.620328,0.184440,0.489467,0.957113,0.632941;0.969926,0.117737,0.505246,0.206241,0.408925,0.205705;0.185754,0.613293,0.226012,0.202208,0.167365,0.419438;0.338679,0.209876,0.640407,0.540438,0.637965,0.280479;0.649210,0.178619,0.162299,0.576537,1.009948,0.614509;1.045793,0.555573,0.567144,0.390006,0.358018,0.776705;0.482301,1.497159,0.544208,0.153281,0.363453,0.906666;0.286614,0.228775,0.247177,0.155032,0.972825,0.978942;0.849466,0.100186,0.764960,0.259691,0.305394,0.566653;0.531426,-0.209709,0.983153,0.515729,0.688035,0.323541
0.565 0.4875 7 0.0115 10 32 0.435995,-0.125386,0.549662,0.452356,0.578185,0.317391;0.051649,0.465813,0.299655,0.237418,0.707947,0.561541;-0.081253,0.304230,0.184440,0.804764,0.659035,0.678634;0.575326,0.097292,0.505246,0.245338,0.352520,0.270404;-0.092607,0.684724,0.226012,0.289994,0.143797,0.534077;0.202818,0.337533,0.640407,0.672830,0.453475,0.436945;0.463135,0.578267,0.162299,0.813505,1.003050,0.500008
0.52 0.525 9 0.0099 10 32 0.435995,-0.017755,0.549662,0.617499,0.634749,0.311364;-0.112954,0.734349,0.299655,0.236898,0.741156,0.580703;-0.222541,0.663295,0.184440,0.859334,0.642815,0.746400;0.862454,0.103474,0.505246,0.301538,0.315930,0.247863;0.186143,0.660454,0.226012,0.212726,0.126367,0.439349;0.419661,0.473131,0.640407,0.561761,0.663755,0.262820;0.506711,0.695983,0.162299,0.815878,1.052658,0.596763;0.891116,0.180530,0.567144,0.522054,0.439168,0.967932;0.541635,0.882142,0.544208,0.133980,0.394862,0.850851
0.565 0.5375 6 0.0065 10 32 0.435995,0.162826,0.549662,0.472540,0.624270,0.186690;-0.085516,0.716710,0.299655,0.132331,0.894031,0.432382;0.004684,0.433275,0.184440,0.712504,0.954292,0.677163;0.905482,0.038520,0.505246,0.238428,0.185438,0.341934;0.194953,0.694152,0.226012,0.271360,-0.030434,0.548475;0.509308,0.495355,0.640407,0.631542,0.355066,0.386893
0.665 0.645 15 0.0276 10 16 0.435995,-0.114082,0.549662,0.644515,0.330360,0.751281;-0.002546,0.630664,0.299655,0.560414,0.347002,0.874922;-0.168547,0.922387,0.184440,1.105509,0.671436,0.383483;1.030862,0.143694,0.505246,-0.041155,0.483061,-0.145945;0.110005,0.622490,0.226012,-0.135607,0.297753,0.119190;0.480676,-0.068951,0.640407,0.233471,0.617008,0.362214;0.585264,0.173870,0.162299,0.751302,0.589577,0.760727;0.724464,0.128087,0.567144,0.701481,-0.104402,1.072730;0.371730,0.599827,0.544208,0.074176,-0.013317,0.676799;0.456029,0.121136,0.247177,-0.094215,0.975436,0.544630;0.858125,0.546209,0.764960,-0.202772,0.338731,0.260746;0.146228,-0.004510,0.983153,0.186910,0.262989,0.381049;0.016917,0.136693,0.832017,0.842160,0.077765,0.242262;0.404134,0.180010,0.582685,0.279350,0.423812,0.560778;0.024950,0.057829,0.350872,0.754901,0.858361,0.112776
